id	szemely	hely	avatas	rogzites
2969	Kossuth Lajos	Szarvas	2002	2009.10.30
2970	Klebelsberg Kuno	Kaposvár	2006	2013.02.05
2971	IV. Béla	Vecsés	2016	2016.12.05
2972	Batka István	Makó	2014	2014.10.29
2973	Mezei Mária	Budakeszi	1984	2012.03.21
2974	Horváth Döme	Kecskemét	1964	2008.05.12
2975	Erdei Ferenc	Gárdony-Agárd	1987	2014.07.21
2976	Szent-Györgyi Albert	Szeged	1987	2008.02.25
2977	Lukács Antal	Soltvadkert	2013	2014.06.16
2978	Szent István	Pannonhalma	1999	2010.09.14
2979	Dessewffy Arisztid	Nagykanizsa	2000	2016.01.14
2980	Bonfinius	Budapest	2009	2009.01.16
2981	O'sváth Pál	Biharkeresztes	1999	2009.05.04
2982	Kossuth Lajos	Ajka	1904	2009.01.26
2983	Szent-Györgyi Albert	Enying	1999	2008.07.22
2984	Berzsenyi Dániel	Szeged	1931	2011.07.01
2985	Puskás Ferenc	Budapest	2013	2013.04.07
2986	Batthyány Kázmér	Budapest	1998	2013.03.05
2987	Steindl Imre	Budapest	1904	2018.05.26
2988	Hazay István	Budapest	2001	2009.01.16
2989	Wass Albert	Kaposvár	2007	2013.02.08
2990	Fodor András	Kaposmérő	2007	2014.09.15
2991	Teleki Zsigmond	Villány	2000	2011.06.03
2992	Eötvös József báró	Miskolc	1994	2011.10.20
2993	Eugen Jebeleanu	Kiskőrös	2005	2009.08.27
2994	Szent Erzsébet	Budapest	1999	2010.10.12
2995	II. Rákóczi Ferenc	Tárnok	1989	2012.11.19
2996	Frigyesi József	Budapest		2015.12.10
2997	Ronald Reagan	Budapest	2006	2008.04.10
2998	II. Rákóczi Ferenc	Budapest	1976	2014.08.06
2999	Barta István	Budapest	2010	2015.09.13
3000	Széchenyi István gróf	Újszász	1999	2015.03.23
3001	Szent István	Múcsony	2006	2010.03.16
3002	Nádaskay Béla	Budapest	1938	2009.05.13
3003	Zrínyi Miklós	Budapest	1952	2008.12.06
3004	Jókai Mór	Magyarsarlós	2010	2015.04.20
3005	Kántorné Engelhardt Anna	Miskolc	1959	2014.12.07
3006	Lenin	Salgótarján	1967	2013.07.19
3007	Vörösmarty Mihály	Bácsalmás		2011.02.28
3008	Széchenyi István gróf	Bonyhád	1993	2017.05.21
3009	Zoltánfy István	Deszk	2014	2014.09.05
3010	Body Tivadar	Budapest	1936	2009.03.31
3011	Illyés Gyula	Ozora	1992	2017.04.02
3012	Kölcsey Ferenc	Győr	1993	2012.08.02
3013	Pollack Mihály	Szeged	1930	2018.10.08
3014	Arany János	Sándorfalva	1979	2010.01.18
3015	Eötvös József báró	Budapest	1890	2009.03.29
3016	Somlyó Zoltán	Budapest	2011	2012.03.29
3017	Katona József	Budapest	1952	2008.11.27
3018	Nicolae Bălcescu	Méhkerék	1975	2018.11.05
3019	Zambó János	Miskolc-Egyetemváros	2006	2014.08.09
3020	Petőfi Sándor	Biatorbágy	2015	2016.05.13
3021	Klebelsberg Kuno	Tihany	2000	2009.09.25
3022	Petőfi Sándor	Himesháza	1978	2013.07.19
3023	Marek József	Budapest	1978	2008.07.25
3024	Abaj Kunanbajev	Budapest	2014	2014.12.03
3025	Bertha György	Rábahídvég	2005	2013.06.27
3026	Szontagh Félix	Debrecen	1927	2010.02.13
3027	Lámfalussy Sándor	Sopron	2005	2010.08.21
3028	Görög Dénes	Szombathely	2005	2012.05.25
3029	Szent István	Taksony		2016.06.03
3030	Faller Jenő	Sopron	1979	2011.07.17
3031	John Charles Polanyi	Budapest	2006	2015.12.20
3032	Mádl Ferenc	Herend	2012	2014.11.03
3033	Kulich Gyula	Budapest	1958	2009.02.02
3034	Dózsa György	Gyömrő	1964	2012.01.06
3035	Stasney Albert	Sopron	2005	2009.09.18
3036	Aulich Lajos	Nagykanizsa	2000	2016.01.13
3037	Holló László	Tiszadada	2002	2015.12.20
3038	Chernel István	Gárdony-Agárd	1965	2015.05.31
3039	Almásy János	Törökszentmiklós	2014	2014.10.27
3040	II. Rákóczi Ferenc	Bácsalmás	2013	2016.03.26
3041	Radnóti Miklós	Budapest	2013	2013.06.14
3042	Petőfi Sándor	Mezőtúr	1977	2009.11.16
3043	Pogány Frigyes	Budapest	1998	2016.12.02
3044	Berzsenyi Zoltán	Székesfehérvár	2001	2010.11.23
3045	Kölcsey Ferenc	Káva	2004	2011.07.12
3046	Puskás Tivadar	Budapest	2006	2011.05.12
3047	Madách Imre	Budapest	1936	2012.11.21
3048	Békésy György	Budapest	1996	2014.12.19
3049	Kvassay Jenő	Szarvas	1972	2010.11.24
3050	Barthos Gyula	Nagykanizsa	2007	2008.02.02
3051	Széchenyi Géza gróf	Csokonyavisonta	1901	2012.09.14
3052	Bocskai István	Szerencs	1972	2011.02.23
3053	Csokonai Vitéz Mihály	Szeged	1974	2011.06.21
3054	Kölcsey Ferenc	Budapest	2006	2015.10.08
3055	Ságvári Endre	Makó	1978	2015.02.05
3056	Komjádi Béla	Budapest	1934	2008.12.27
3057	Dózsa György	Tyukod	1988	2016.12.02
3058	Fehér Dániel	Sopron	1962	2010.11.01
3059	Szabó Magda	Debrecen	2013	2013.10.03
3060	Lenin	Szeged	1968	2016.02.25
3061	Zielinski Szilárd	Mátészalka	2006	2010.07.02
3062	Várkonyi István	Szolnok	1974	2010.08.18
3063	Petőfi Sándor	Hajdúnánás	1948	2009.04.17
3064	Petőfi Sándor	Alsómocsolád	1990	2010.07.02
3065	Winkler Oszkár	Sopron	2002	2010.09.14
3066	Vasvári Pál	Tiszavasvári	1949	2014.03.01
3067	Albrecht Dürer	Gyula	1963	2008.10.26
3068	Kerpely Antal	Budapest	1913	2009.08.08
3069	Veres Péter	Balmazújváros	2004	2012.09.22
3070	Vörösmarty Mihály	Fót	1969	2015.10.02
3071	Annus István	Békéssámson	2015	2018.11.13
3072	Kálvin János	Gyál	2010	2017.12.19
3073	Táncsics Mihály	Budapest	1884	2011.03.15
3074	Bory Jenő	Székesfehérvár	2014	2015.06.29
3075	Petőfi Sándor	Balatonszabadi	2012	2016.08.12
3076	Jókai Mór	Kiskőrös	2004	2009.08.01
3077	Hegedűs Loránt	Budapest	2014	2017.01.13
3078	Juhász Gyula	Vác	1984	2011.04.13
3079	Arany János	Sarkad	1979	2013.06.25
3080	Fodor László	Sopron	2002	2010.09.30
3081	Oláh György	Budapest	2006	2014.04.20
3082	Vedres István	Szeged	1965	2018.10.08
3083	Széchenyi István gróf	Görbeháza	2007	2018.01.31
3084	Garay János	Szekszárd	1971	2008.04.28
3085	László Elek	Orosháza	1968	2018.11.19
3086	Kálvin János	Nemesgörzsöny	2005	2013.05.29
3087	Prinz Gyula	Érd	1993	2008.05.05
3088	Schéner Mihály	Medgyesegyháza	2014	2016.11.22
3089	Sályi Gyula	Budapest	2003	2015.04.28
3090	Tóth József	Szentes	1986	2014.04.02
3091	Kiss József	Mezőcsát	1967	2015.10.25
3092	Verzár Gyula	Debrecen	2006	2014.09.19
3093	Várkonyi Nándor	Pécs	1988	2008.04.02
3094	Stein Aurél	Érd	1990	2008.05.05
3095	Fazekas Mihály	Budapest	1980	2014.04.16
3096	Vértesi Mihály	Békésszentandrás	1960	2010.11.09
3097	Kálmány Lajos	Szeged	2002	2008.01.26
3098	Arany János	Hódmezővásárhely	1967	2011.04.27
3099	Felsőbüki Nagy Pál	Fertőszentmiklós	2000	2008.05.22
3100	Óvári Ferenc	Balatonalmádi	2018	2018.05.03
3101	Búza Barna	Sarkad	2011	2013.06.17
3102	Fodor József	Hódmezővásárhely	1962	2013.04.04
3103	Szenczi Molnár Albert	Csenger	2008	2012.10.13
3104	Deák Ferenc	Győr	2003	2013.07.09
3105	Bocskai István	Vámospércs	2013	2013.08.11
3106	Zlamál Vilmos	Budapest	1973	2009.05.14
3107	Teleki László	Budapest	1998	2013.03.09
3108	Hegyesi János	Füzesgyarmat	2014	2017.04.17
3109	Petőfi Sándor	Ostffyasszonyfa	1910	2014.10.13
3110	Semmelweis Ignác	Simaság		2018.12.17
3111	Velkey László	Miskolc	2006	2011.03.05
3112	Erzsébet királyné	Ősi	2007	2012.04.24
3113	Kerpely Antal	Dunaújváros	1987	2009.05.29
3114	Fejes Ádám	Aba	2005	2009.08.21
3115	Illyés Gyula	Szekszárd	1995	2008.05.08
3116	Tóth Béla	Budapest	2003	2013.07.17
3117	Oláh Gábor	Debrecen	1968	2011.02.26
3118	Árpád fejedelem	Homokkomárom	2007	2015.12.17
3119	Kittenberger Kálmán	Veszprém	1978	2012.08.20
3120	II. Rákóczi Ferenc	Tokaj	2016	2017.07.02
3121	Arany János	Hajdúböszörmény	2017	2018.11.09
3122	Jurisich Miklós	Kőszeg	1971	2010.07.29
3123	Szent Imre	Soltszentimre	2007	2009.09.13
3124	II. Rákóczi Ferenc	Onga	2014	2015.03.03
3125	Winkler Mihály	Gödre	2012	2016.06.13
3126	Jedlik Ányos	Budapest	1999	2011.12.22
3127	Endrődi Sándor	Veszprém	2002	2014.05.15
3128	Taksony fejedelem	Taksony	1975	2012.03.18
3129	Csonka Pál	Budapest	1996	2009.01.16
3130	Steindl Imre	Szeged	1931	2010.06.15
3131	Szent László	Ópusztaszer	2000	2008.11.13
3132	Lázár Vilmos	Nagykanizsa	2000	2016.01.20
3133	Széky Endre	Budapest	2001	2011.04.28
3134	Szent István	Újszász	2000	2015.02.11
3135	Péterfy Sándor	Budapest	1913	2014.03.03
3136	Atanasz Dalcsev	Kiskőrös	1999	2011.01.21
3137	Móricz Zsigmond	Békéscsaba	1975	2008.11.24
3138	Erzsébet királyné	Esztergom	2000	2008.01.12
3139	Nemes Nagy Ágnes	Székesfehérvár	2004	2015.06.15
3140	Nagy László	Budapest	1990	2010.05.26
3141	Szent Imre	Lakitelek	2009	2009.09.19
3142	Mladonyiczky Béla	Békésszentandrás	2000	2010.11.15
3143	Zipernovszky Károly	Budapest	1960	2011.10.14
3144	Szabó Gusztáv	Budapest	1983	2008.07.26
3145	Bibó István	Szeged	1996	2008.02.25
3146	Kossuth Lajos	Dabas	1968	2011.06.15
3147	Gábor Dénes	Budapest	2006	2015.12.12
3148	Szent Margit	Budapest	1999	2010.10.14
3149	Szisz Ferenc	Szeghalom	2006	2012.01.05
3150	József Attila	Szabadszállás		2009.09.19
3151	Mikszáth Kálmán	Mohora	1979	2009.12.28
3152	Széchenyi István gróf	Székesfehérvár	1991	2011.07.25
3153	Szabó Lőrinc	Debrecen	1977	2010.01.31
3154	Egressy Béni	Budapest	2008	2014.02.09
3155	Ferenczy István	Szeged	1930	2010.06.13
3156	Hidasi László	Gádoros	1993	2010.03.14
3157	Attila	Nyíradony	2013	2015.04.02
3158	Lékai László	Zalalövő	2002	2012.08.01
3159	Püski Sándor	Vésztő-Mágor	2014	2014.09.08
3160	Szent István	Királyszentistván	2014	2014.10.20
3161	Vigyázó Sándor	Vácrátót	2014	2016.11.10
3162	Cházár András	Vác	1902	2009.08.31
3163	Petőfi Sándor	Jászberény	1948	2010.07.19
3164	Kertész Imre	Budapest	2006	2014.04.19
3165	Petőfi Sándor	Miskolc-Pereces		2010.10.10
3166	Székács Elemér	Szeged	1988	2012.08.24
3167	II. Rákóczi Ferenc	Rákócziújfalu	1997	2012.08.26
3168	Hunyadi János	Kalocsa	1961	2016.09.11
3169	Déryné	Törtel	2015	2015.10.15
3170	Rajk László	Gárdony-Agárd	1989	2014.07.12
3171	Szent László	Nyíradony	2015	2016.12.02
3172	Szent István	Sarkad	2000	2011.06.06
3173	Gulyás György	Tarhos	2016	2018.10.03
3174	Ádám Jenő	Budapest	2006	2015.11.12
3175	Szent István	Lőkösháza	1992	2017.06.03
3176	Thúry György	Nagykanizsa	1952	2015.07.09
3177	Sőregi János	Cigánd	2013	2015.12.26
3178	Illyés Gyula	Cece	1993	2009.12.29
3179	II. Rákóczi Ferenc	Ordas	2001	2009.11.02
3180	Attila	Vecsés	2014	2015.04.24
3181	Gábor Andor	Kaposvár	1964	2010.05.14
3182	Szent István	Raposka	2017	2018.10.21
3183	Petőfi Sándor	Sándorfalva	1973	2010.01.18
3184	Széchenyi István gróf	Zalaszentgrót	2010	2014.02.01
3185	Szent István	Gibárt	2009	2010.01.28
3186	Szent István	Rákócziújfalu	2001	2012.08.25
3187	Tas vezér	Tass	2014	2016.04.19
3188	Zichy Mihály	Budapest	1966	2008.12.06
3189	Kisfaludi Strobl Zsigmondné	Budapest	1962	2012.01.11
3190	Rágyánszky János	Orosháza	1974	2014.05.25
3191	Knezich Károly	Pécs	1992	2008.02.06
3192	Kossuth Lajos	Ópusztaszer	2001	2010.05.15
3193	Petőfi Sándor	Kisdobsza	2005	2017.05.31
3194	Szent István	Dömös	2014	2015.07.14
3195	Beethoven	Martonvásár	1927	2009.05.28
3196	Liszt Ferenc	Alsómocsolád	1993	2010.07.04
3197	Árpád fejedelem	Kisoroszi	2008	2012.01.23
3198	Kapoli Antal	Szigetvár	1972	2009.09.07
3199	Erkel Ferenc	Budapest	1956	2014.04.12
3200	Batthyány Fülöp	Érd	2011	2011.10.24
3201	Lorántffy Zsuzsanna	Pocsaj	2001	2012.12.07
3202	Liszt Ferenc	Budapest	1993	2013.06.21
3203	Váci Mihály	Bátonyterenye-Kisterenye	2007	2012.03.13
3204	Luxemburgi Zsigmond	Budapest	2010	2011.05.03
3205	Kozma Ferenc	Mezőhegyes	1897	2010.06.13
3206	Veres Péter	Budapest	1987	2012.03.01
3207	Széchenyi István gróf	Szekszárd	1999	2008.04.28
3208	Szent László	Vecsés	2016	2016.11.27
3209	Dózsa György	Harta	1979	2017.06.10
3210	Pierre de Coubertin	Budapest	1995	2012.05.03
3211	Nagy Iván	Balassagyarmat	1978	2010.04.20
3212	Móra Ferenc	Mórahalom	1965	2012.06.21
3213	Mikszáth Kálmán	Horpács	1999	2010.09.13
3214	Kondor Ernő	Balassagyarmat	1980	2014.04.20
3215	Dessewffy Arisztid	Veresegyház	2013	2013.10.06
3216	Brunswick Teréz	Budapest	1994	2008.06.12
3217	Magyar Zoltán	Budapest	1999	2012.06.08
3218	Gál Ferenc	Szeged	2008	2014.04.30
3219	Bugyi István	Szentes	1999	2012.07.28
3220	Antall József	Jánosháza	2001	2013.05.11
3221	Borbély Sándor	Vác	1934	2009.09.09
3222	Kovács Jenő	Budapest	2003	2009.05.22
3223	Józef Piłsudski	Budapest	2018	2018.09.27
3224	Kölcsey Ferenc	Dunakeszi	2000	2010.09.18
3225	Sztárai Mihály	Harkány	1980	2009.09.28
3226	Karacs Ferenc	Püspökladány	2014	2014.10.12
3227	Zsolnay Vilmos	Pécs	1890	2010.10.17
3228	Kossuth Lajos	Tószeg	2006	2016.09.09
3229	Boldog Batthyány László	Körmend	2016	2016.09.07
3230	Neumann János	Szombathely	2003	2011.07.26
3231	Franz Anton Maulbertsch	Sümeg	1991	2008.07.27
3232	Teleki Zsófia	Miskolc	2000	2011.02.20
3233	Szent István	Szabadszentkirály	2000	2012.09.18
3234	Losonczy György	Budapest	2005	2016.05.08
3235	Tessedik Sámuel	Budapest	1977	2008.07.26
3236	Uhl Antal	Baranyaszentgyörgy	1998	2016.07.25
3237	Varga Márton	Budapest	2000	2016.09.26
3238	Kossuth Lajos	Balatonszabadi	1894	2010.06.15
3239	Arany János	Szentgotthárd	1989	2016.09.05
3240	Rétfalvi Teofil	Harta	2010	2017.10.26
3241	Galánffy János	Budapest	2017	2017.04.08
3242	Szent Márton	Csabrendek-Nyírespuszta	2016	2017.06.17
3243	IV. Károly	Budapest	2013	2017.06.04
3244	Mott János	Feked	2016	2018.07.29
3245	Gyulaffy László	Veszprém-Gyulafirátót	1993	2015.11.16
3246	Garay János	Budapest	1899	2017.07.09
3247	Fazola Henrik	Budapest	1985	2009.08.06
3248	Illéssy János	Kisújszállás	2003	2009.10.26
3249	Hunfalvy Pál	Miskolc	1988	2009.11.08
3250	Kozma Miklós	Budapest	1943	2014.08.27
3251	Verebélÿ László	Budapest	1998	2017.03.10
3252	Radnóti Miklós	Pécs	1975	2008.04.01
3253	Radnóti Miklós	Pécs	1965	2008.03.14
3254	Deák Ferenc	Rátót	2000	2015.11.12
3255	Paracelsus	Tokaj	2016	2016.09.21
3256	II. János Pál pápa	Becsehely	2009	2009.09.18
3257	Festetics György	Keszthely		2016.02.01
3258	Mindszenty József	Mesztegnyő	2013	2017.06.05
3259	II. Rákóczi Ferenc	Bicsérd	2008	2011.10.31
3260	Petőfi Sándor	Hort	1948	2014.11.05
3261	Simonyi Károly	Egyházasfalu	2004	2014.04.03
3262	Mendöl Tibor	Szarvas	2016	2018.11.06
3263	Szent István	Alsónémedi	2006	2014.09.14
3264	Cotel Ernő	Miskolc-Egyetemváros	1964	2009.11.06
3265	Hunyadi Mátyás	Szolnok	1994	2012.02.27
3266	Batthyány Lajos gróf	Veszprém-Gyulafirátót	1999	2011.11.12
3267	Kulcsár Krisztina	Budapest	1976	2013.04.03
3268	Károli Gáspár	Csenger	2011	2012.10.13
3269	Kiss Ernő	Nagykanizsa	2000	2016.01.20
3270	Móricz Zsigmond	Sárospatak	1999	2009.06.02
3271	Erzsébet királyné	Cece	1903	2010.10.02
3272	Teller Ede	Budapest	2013	2013.11.08
3273	Hunyadi Mátyás	Perkáta	2009	2011.12.05
3274	Gábor Áron	Kalocsa	2016	2016.12.07
3275	József Antal János főherceg	Budapest	1918	2009.01.29
3276	Semmelweis Ignác	Budapest	1973	2017.10.25
3277	Dienes Valéria	Szekszárd	1991	2010.05.10
3278	John Charles Polanyi	Eger	2000	2011.09.06
3279	Petőfi Sándor	Makó	2001	2009.11.19
3280	Szent István	Szank	2001	2010.04.20
3281	Makovecz Imre	Budapest	2015	2015.12.03
3282	Harsányi Zsolt	Budapest	1997	2016.04.01
3283	Huszka Jenő	Balatonfüred	1968	2009.10.04
3284	Nagy-Pál István	Soltvadkert	2013	2014.06.23
3285	Molnár Jenő	Budapest	2015	2015.12.20
3286	Bálint Lajos	Miskolc-Egyetemváros	1999	2009.11.10
3287	Tisza Antal	Szolnok	1962	2010.07.30
3288	Fasching Antal	Budapest	1982	2008.07.25
3289	Sigmond Elek	Budapest	1983	2008.07.26
3290	Oláh Miklós	Miskolc	2017	2018.01.01
3291	Bocskai István	Körösnagyharsány	1985	2015.01.12
3292	Tisza István	Mezőberény	2016	2016.11.01
3293	Erzsébet királyné	Budapest	1906	2012.12.02
3294	Kossuth Lajos	Buj	1909	2015.12.05
3295	László Károly	Kecskemét	1968	2009.08.29
3296	Kossuth Lajos	Kisújszállás	2007	2009.07.31
3297	Brassai Sámuel	Debrecen	2002	2014.09.29
3298	Szegedi Kis István	Patapoklosi	1997	2017.07.11
3299	Kosutány Tamás	Budapest	1984	2008.07.25
3300	Wass Albert	Százhalombatta	2010	2010.06.12
3301	Zorkóczy Samu	Budapest	1930	2009.08.08
3302	Fürst Sándor	Szombathely	1958	2013.10.16
3303	Petőfi Sándor	Pilisvörösvár	2013	2015.08.17
3304	Barabás Miklós	Budapest	1972	2008.11.17
3305	III. Béla	Zirc	1987	2011.06.06
3306	Bercsényi Miklós	Győr	2015	2016.07.04
3307	Kossuth Lajos	Tyukod	1996	2016.12.05
3308	Batthyány Lajos gróf	Gyöngyöshalász		2018.08.16
3309	Vermes Miklós	Budapest	2012	2012.10.28
3310	Kanizsai Dorottya	Siklós	2015	2017.08.29
3311	Lévay József	Sajószentpéter	1988	2008.10.09
3312	Grezsa Ferenc	Hódmezővásárhely	1994	2011.04.19
3313	Szilas A. Pál	Zalaegerszeg	2001	2012.09.13
3314	Kossuth Lajos	Budapest	1955	2012.03.08
3315	Babay István	Budapest	2017	2017.02.27
3316	Teleki Blanka	Székesfehérvár	1966	2011.08.17
3317	Solymosi Ignác	Szolnok	1976	2010.07.30
3318	Gábor Dénes	Szeged	2003	2013.03.04
3319	Springer Ferenc	Gárdony-Agárd	2011	2011.09.26
3320	Zrínyi Miklós	Zalaegerszeg	1972	2009.12.10
3321	Chlepkó Ede	Budapest	1980	2012.01.23
3322	Fodor József	Budapest	1985	2008.11.21
3323	József Attila	Nagyiván	1986	2010.08.20
3324	Izsó Miklós	Izsófalva	1968	2010.06.04
3325	Berzsenyi Dániel	Hévíz	1977	2008.07.26
3326	Szabó Ignác	Tatabánya	2018	2018.03.22
3327	Marx György	Paks	2003	2009.11.14
3328	Gönczy Pál	Hajdúszoboszló	1910	2009.04.03
3329	Sipos Edit	Szentes	2014	2014.04.01
3330	Széchenyi István gróf	Vasvár	2000	2012.10.11
3331	Vaszary János	Kaposvár	1971	2016.08.15
3332	Deák Ferenc	Szeged	1931	2010.06.16
3333	Wenckheim Béla	Gyula	1889	2018.10.23
3334	Petőfi Sándor	Csongrád	1999	2015.07.17
3335	Komócsin Zoltán	Szeged	1980	2018.04.14
3336	Zrínyi Ilona	Vaja	1981	2010.06.24
3337	Harruckern János György	Gyula	2011	2018.08.31
3338	Szent István	Kótaj	2001	2010.09.07
3339	Leonyid Nyikolájevics Martinov	Kiskőrös	1985	2009.08.26
3340	Vaszy Viktor	Szeged	1986	2013.02.15
3341	Vallus Pál	Budakeszi	2006	2014.05.30
3342	Árpád fejedelem	Nyíradony	2014	2015.04.02
3343	Kisfaludy Károly	Győr	1988	2015.06.12
3344	Benedek Elek	Debrecen	2000	2014.09.30
3345	Németh László	Hódmezővásárhely	1976	2014.06.24
3346	Bakacs Sándor	Keszthely	2014	2018.03.18
3347	Eötvös Károly	Veszprém	1968	2011.07.31
3348	Kossuth Lajos	Mezőberény	1998	2010.10.12
3349	Kablay Lajos	Szolnok	2002	2010.08.09
3350	Bischitz Dávidné	Budapest	1889	2010.03.26
3351	Kandó Kálmán	Szeged	2002	2017.03.23
3352	Petőfi Sándor	Madaras	1959	2011.08.22
3353	Sinkovits Imre	Lakitelek	2003	2010.06.20
3354	Orosz Pál	Karcag	1993	2009.04.22
3355	Hevesy György	Budapest	2006	2015.06.04
3356	Batthyány Lajos gróf	Pápa	1993	2014.05.26
3357	Liszt Ferenc	Kaposvár	2011	2012.08.06
3358	Kotnyek István	Nagykanizsa-Miklósfa	2012	2015.04.25
3359	Patay István	Nyírmada	2004	2018.08.02
3360	Jakóby László	Budapest	1984	2009.08.08
3361	Illyés Gyula	Lakitelek	2002	2010.07.06
3362	Csány László	Keszthely	1998	2011.01.14
3363	Chopin	Budapest	1961	2010.04.27
3364	Griger Miklós	Sóskút	1996	2015.04.27
3365	P. Szathmáry Károly	Budapest	1931	2008.01.24
3366	Csik Ferenc	Kaposvár	1936	2012.07.16
3367	Petőfi Sándor	Budapest	1973	2012.04.12
3368	Petőfi Sándor	Kunszentmiklós	1948	2009.07.25
3369	Erzsébet királyné	Nyirád	1899	2010.02.12
3370	Móra Ferenc	Győr	1991	2012.07.12
3371	Mező Imre	Gyöngyös	1969	2013.04.14
3372	Petőfi Sándor	Budapest	1948	2009.10.24
3373	Komarov	Pápa	1968	2016.03.11
3374	Bibó István	Vésztő-Mágor	2004	2011.10.11
3375	Molnár Gábor	Ajka	1987	2009.02.17
3376	Lugosi Béla	Budapest	2003	2008.05.09
3377	József Attila	Makó	1971	2012.11.22
3378	Schulek Frigyes	Szeged	1930	2010.06.15
3379	Mustafa Kemal Atatürk	Budapest	2012	2015.12.19
3380	Festetics György gróf	Simaság	2015	2015.11.17
3381	Walla József	Törökbálint	1990	2013.05.28
3382	Ladi János	Mesztegnyő	1972	2009.02.10
3383	Gelléri Andor Endre	Budapest	2014	2016.02.05
3384	II. Rákóczi Ferenc	Tatabánya	2005	2010.01.04
3385	Lenin	Sarkad	1970	2013.07.09
3386	Petőfi Sándor	Vecsés	1975	2011.03.30
3387	Kodály Zoltán	Kecskemét	1990	2010.05.22
3388	Kohán György	Gyula	1986	2009.10.06
3389	Mező Imre	Zánka	1987	2010.12.06
3390	Bessenyei György	Nyíregyháza	2007	2010.07.26
3391	Szent István	Zalaapáti	2000	2014.04.09
3392	Obermayer Ernő	Szeged	1978	2012.08.02
3393	Mátrai Sándor	Orosháza	2010	2014.05.27
3394	Kovács Imre	Vésztő-Mágor	1991	2011.09.29
3395	Szent László	Birján	2004	2017.05.18
3396	Wass Albert	Szeged	2008	2008.10.22
3397	Böckh Hugó	Zalaegerszeg	1987	2012.08.09
3398	Balogh János	Budapest	2008	2015.11.14
3399	Tarasz Sevcsenko	Zalaegerszeg	1986	2012.05.03
3400	Kálvin János	Alsóörs	2009	2013.01.04
3401	Jármai Károly	Kulcs	2015	2016.06.28
